IP,abuseipdb_is_whitelisted,abuseipdb_confidence_score,abuseipdb_country_code,abuseipdb_isp,abuseipdb_domain,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_last_reported_at,virustotal_reputation,virustotal_regional_internet_registry,virustotal_as_owner,harmless,malicious,suspicious,undetected,IBM_score,IBM_average history Score,IBM_most common score,virustotal_asn,SHODAN_asn,SHODAN_isp,ALIENVAULT_reputation,ALIENVAULT_asn,score_average_Mobat
141.98.11.67,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-27T21:47:47+00:00,0.0,RIPE NCC,UAB Host Baltic,64.0,97.0,100.0,77.0,0.0,0.0,0.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.257.142.857.142.850
141.98.11.67,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-27T21:47:47+00:00,0.0,RIPE NCC,UAB Host Baltic,64.0,97.0,100.0,78.0,0.0,0.0,0.0,AS209605,None,None,FALSE,AS209605 uab host baltic,62.714.285.714.285.700
141.98.11.84,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-20T18:25:34+00:00,0.0,RIPE NCC,UAB Host Baltic,63.0,96.0,99.0,78.0,0.0,0.0,0.0,AS209605,None,None,FALSE,AS209605 uab host baltic,62.285.714.285.714.200
141.98.11.84,FALSE,100,LT,UAB Host Baltic,serveroffer.lt,0,0,2023-12-20T18:25:34+00:00,0.0,RIPE NCC,UAB Host Baltic,63.0,96.0,100.0,78.0,0.0,0.0,0.0,AS209605,None,None,FALSE,AS209605 uab host baltic,6.242.857.142.857.140
142.93.58.158,FALSE,100,US,DigitalOcean LLC,digitalocean.com,0,0,2023-11-08T15:40:48+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,64.0,97.0,99.0,78.0,0.0,0.0,0.0,AS14061,AS14061,"DigitalOcean, LLC",FALSE,AS14061 digitalocean  llc,6.242.857.142.857.140
142.93.58.158,FALSE,100,US,DigitalOcean LLC,digitalocean.com,0,0,2023-11-08T15:40:48+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,64.0,97.0,99.0,79.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.257.142.857.142.850
143.198.146.239,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1048,433,2024-02-26T01:29:38+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,57.0,89.0,97.0,81.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,46.142.857.142.857.100
143.198.146.239,FALSE,0,US,DigitalOcean LLC,digitalocean.com,1040,435,2024-02-26T20:41:09+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,57.0,90.0,97.0,81.0,0.0,0.0,0.0,AS14061,AS14061,"DigitalOcean, LLC",FALSE,AS14061 digitalocean  llc,46.285.714.285.714.200
146.19.169.228,FALSE,100,DE,Xsserver GmbH,xsserver.gmbh,0,0,2023-11-08T15:42:04+00:00,-1.0,RIPE NCC,SkyLink Data Center BV,63.0,96.0,98.0,79.0,0.0,0.0,0.0,AS44592,None,None,FALSE,AS44592 skylink data center bv,62.142.857.142.857.100
146.19.169.228,FALSE,100,DE,Xsserver GmbH,xsserver.gmbh,0,0,2023-11-08T15:42:04+00:00,-1.0,RIPE NCC,SkyLink Data Center BV,63.0,96.0,98.0,80.0,0.0,0.0,0.0,AS44592,None,None,FALSE,AS44592 skylink data center bv,62.285.714.285.714.200
146.190.38.28,FALSE,0,US,DigitalOcean LLC,digitalocean.com,943,413,2024-02-24T22:55:04+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,57.0,89.0,98.0,80.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,46.142.857.142.857.100
146.190.38.28,FALSE,0,US,DigitalOcean LLC,digitalocean.com,923,409,2024-02-24T22:55:04+00:00,-1.0,ARIN,DIGITALOCEAN-ASN,57.0,90.0,98.0,80.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,46.285.714.285.714.200
149.127.190.57,FALSE,100,SG,Citis Cloud Group Limited,zoneidc.com,0,0,2023-05-16T06:45:48+00:00,0.0,APNIC,CITIS CLOUD GROUP LIMITED,64.0,99.0,100.0,75.0,0.0,0.0,0.0,AS140107,None,None,FALSE,AS140107 citis cloud group limited,6.257.142.857.142.850
149.127.190.57,FALSE,100,SG,Citis Cloud Group Limited,zoneidc.com,0,0,2023-05-16T06:45:48+00:00,0.0,APNIC,CITIS CLOUD GROUP LIMITED,64.0,99.0,100.0,76.0,0.0,0.0,0.0,AS140107,None,None,FALSE,AS140107 citis cloud group limited,62.714.285.714.285.700
152.89.196.144,FALSE,97,GB,Starcrecium Limited,starcrecium.com,3,1,2024-02-25T10:52:14+00:00,0.0,None,None,0.0,100.0,100.0,100.0,0.0,0.0,0.0,None,None,None,FALSE,ASNone,56.714.285.714.285.700
152.89.196.144,FALSE,97,GB,Starcrecium Limited,starcrecium.com,3,1,2024-02-25T10:52:14+00:00,0.0,None,None,0.0,100.0,100.0,100.0,0.0,0.0,0.0,None,None,None,FALSE,ASNone,56.714.285.714.285.700
157.230.17.29,FALSE,99,DE,DigitalOcean LLC,digitalocean.com,0,0,2024-01-07T07:08:02+00:00,-1.0,RIPE NCC,DIGITALOCEAN-ASN,61.0,94.0,98.0,79.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.142.857.142.857.140
157.230.17.29,FALSE,99,DE,DigitalOcean LLC,digitalocean.com,0,0,2024-01-07T07:08:02+00:00,-1.0,RIPE NCC,DIGITALOCEAN-ASN,61.0,94.0,98.0,80.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.157.142.857.142.850
157.245.156.72,FALSE,100,SG,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:24:32+00:00,-1.0,APNIC,DIGITALOCEAN-ASN,64.0,98.0,100.0,76.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.242.857.142.857.140
157.245.156.72,FALSE,100,SG,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:24:32+00:00,-1.0,APNIC,DIGITALOCEAN-ASN,64.0,98.0,100.0,77.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,6.257.142.857.142.850
158.69.111.17,FALSE,100,CA,Web Hosting Capa,ip-158-69-111.net,0,0,2023-12-07T20:56:36+00:00,-1.0,ARIN,OVH SAS,59.0,94.0,97.0,78.0,0.0,0.0,0.0,AS16276,None,None,FALSE,AS16276 ovh sas,61.0
158.69.111.17,FALSE,100,CA,Web Hosting Capa,ip-158-69-111.net,0,0,2023-12-07T20:56:36+00:00,-1.0,ARIN,OVH SAS,59.0,94.0,97.0,79.0,0.0,0.0,0.0,AS16276,None,None,FALSE,AS16276 ovh sas,61.142.857.142.857.100
162.243.145.20,FALSE,0,US,DigitalOcean LLC,digitalocean.com,173,62,2024-02-26T08:47:35+00:00,0.0,ARIN,DIGITALOCEAN-ASN,58.0,92.0,99.0,77.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,4.657.142.857.142.850
162.243.145.20,FALSE,0,US,DigitalOcean LLC,digitalocean.com,168,60,2024-02-26T08:47:35+00:00,0.0,ARIN,DIGITALOCEAN-ASN,57.0,92.0,99.0,77.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,4.642.857.142.857.140
165.154.232.105,FALSE,100,TH,SCloud Pte Ltd,scloud.sg,0,0,2023-11-30T00:30:43+00:00,-1.0,APNIC,Scloud Pte Ltd,62.0,94.0,99.0,79.0,0.0,0.0,0.0,AS142002,None,None,FALSE,AS142002 scloud pte ltd,61.857.142.857.142.800
165.154.232.105,FALSE,100,TH,SCloud Pte Ltd,scloud.sg,0,0,2023-11-30T00:30:43+00:00,-1.0,APNIC,Scloud Pte Ltd,62.0,94.0,99.0,80.0,0.0,0.0,0.0,AS142002,None,None,FALSE,AS142002 scloud pte ltd,62.0
165.232.70.143,FALSE,100,DE,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:32:31+00:00,-1.0,RIPE NCC,DIGITALOCEAN-ASN,62.0,94.0,99.0,79.0,0.0,0.0,0.0,AS14061,AS14061,"DigitalOcean, LLC",FALSE,AS14061 digitalocean  llc,61.857.142.857.142.800
165.232.70.143,FALSE,100,DE,DigitalOcean LLC,digitalocean.com,0,0,2023-11-30T00:32:31+00:00,-1.0,RIPE NCC,DIGITALOCEAN-ASN,62.0,94.0,99.0,80.0,0.0,0.0,0.0,AS14061,None,None,FALSE,AS14061 digitalocean  llc,62.0
172.105.14.77,FALSE,100,CA,Linode LLC,linode.com,0,0,2023-05-20T22:00:10+00:00,0.0,ARIN,Akamai Connected Cloud,63.0,98.0,100.0,75.0,0.0,0.0,0.0,AS63949,None,None,FALSE,AS63949 linode  llc,62.285.714.285.714.200
172.105.14.77,FALSE,100,CA,Linode LLC,linode.com,0,0,2023-05-20T22:00:10+00:00,0.0,ARIN,Akamai Connected Cloud,63.0,98.0,100.0,76.0,0.0,0.0,0.0,AS63949,None,None,FALSE,AS63949 linode  llc,6.242.857.142.857.140
172.245.168.229,FALSE,100,US,RackNerd LLC,racknerd.com,0,0,2023-11-08T15:53:29+00:00,-1.0,ARIN,AS-COLOCROSSING,63.0,98.0,99.0,76.0,0.0,0.0,0.0,AS36352,None,None,FALSE,AS36352 colocrossing,62.142.857.142.857.100
172.245.168.229,FALSE,100,US,RackNerd LLC,racknerd.com,0,0,2023-11-08T15:53:29+00:00,-1.0,ARIN,AS-COLOCROSSING,63.0,98.0,99.0,77.0,0.0,0.0,0.0,AS36352,None,None,FALSE,AS36352 colocrossing,62.285.714.285.714.200
175.214.151.9,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-10-22T21:55:09+00:00,0.0,APNIC,Korea Telecom,59.0,92.0,98.0,79.0,0.0,0.0,0.0,AS4766,AS4766,Korea Telecom,FALSE,AS4766 korea telecom,61.142.857.142.857.100
175.214.151.9,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-10-22T21:55:09+00:00,0.0,APNIC,Korea Telecom,59.0,92.0,99.0,79.0,0.0,0.0,0.0,AS4766,None,None,FALSE,AS4766 korea telecom,61.285.714.285.714.200
179.125.227.136,FALSE,100,BR,Desktop Sigmanet Comunicacao Multimidia SA,desktop.com.br,0,0,2023-06-03T20:41:07+00:00,0.0,LACNIC,Desktop Sigmanet Comunicacao Multimidia SA,64.0,99.0,100.0,75.0,0.0,0.0,0.0,AS28649,None,None,FALSE,AS28649 desktop sigmanet comunicao multimdia sa,6.257.142.857.142.850
179.125.227.136,FALSE,100,BR,Desktop Sigmanet Comunicacao Multimidia SA,desktop.com.br,0,0,2023-06-03T20:41:07+00:00,0.0,LACNIC,Desktop Sigmanet Comunicacao Multimidia SA,64.0,99.0,100.0,76.0,0.0,0.0,0.0,AS28649,None,None,FALSE,AS28649 desktop sigmanet comunicao multimdia sa,62.714.285.714.285.700
179.43.122.214,FALSE,100,AR,Dattatec.com,dattatec.com,0,0,2023-11-30T00:39:51+00:00,-1.0,LACNIC,Dattatec.com,60.0,92.0,100.0,78.0,0.0,0.0,0.0,AS27823,AS27823,Dattatec.com,FALSE,AS27823 dattatec.com,61.285.714.285.714.200
179.43.122.214,FALSE,100,AR,Dattatec.com,dattatec.com,0,0,2023-11-30T00:39:51+00:00,-1.0,LACNIC,Dattatec.com,60.0,92.0,100.0,79.0,0.0,0.0,0.0,AS27823,None,None,FALSE,AS27823 dattatec.com,6.142.857.142.857.140
180.101.88.247,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-11-08T11:21:32+00:00,-1.0,APNIC,Chinanet,59.0,90.0,98.0,81.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,61.0
180.101.88.247,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-11-08T11:21:32+00:00,-1.0,APNIC,Chinanet,59.0,91.0,98.0,81.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,61.142.857.142.857.100
180.168.100.230,FALSE,0,CN,ChinaNet Shanghai Province Network,chinatelecom.com.cn,245,87,2024-02-26T06:55:39+00:00,0.0,APNIC,China Telecom Group,57.0,89.0,99.0,79.0,0.0,0.0,0.0,AS4812,None,None,FALSE,AS4812 china telecom (group),46.285.714.285.714.200
180.168.100.230,FALSE,0,CN,ChinaNet Shanghai Province Network,chinatelecom.com.cn,245,87,2024-02-26T15:08:09+00:00,0.0,APNIC,China Telecom Group,57.0,90.0,99.0,79.0,0.0,0.0,0.0,AS4812,AS4812,China Telecom (Group),FALSE,AS4812 china telecom (group),4.642.857.142.857.140
182.70.252.174,FALSE,88,IN,Bharti Airtel Ltd.,airtel.in,3,2,2024-02-22T01:03:28+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",58.0,88.0,99.0,81.0,0.0,0.0,0.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,59.142.857.142.857.100
182.70.252.174,FALSE,88,IN,Bharti Airtel Ltd.,airtel.in,3,2,2024-02-22T01:03:28+00:00,0.0,APNIC,"Bharti Airtel Ltd., Telemedia Services",58.0,89.0,99.0,81.0,0.0,0.0,0.0,AS24560,None,None,FALSE,AS24560 bharti airtel ltd.,59.285.714.285.714.200
185.161.248.220,FALSE,100,RU,Kisara LLC,kisarallc.msk.ru,0,0,2023-07-06T23:59:07+00:00,0.0,RIPE NCC,Kisara LLC,62.0,97.0,100.0,75.0,0.0,0.0,0.0,AS49202,None,None,FALSE,ASNone,62.0
185.161.248.220,FALSE,100,RU,Kisara LLC,kisarallc.msk.ru,0,0,2023-07-06T23:59:07+00:00,0.0,RIPE NCC,Kisara LLC,62.0,97.0,100.0,76.0,0.0,0.0,0.0,AS49202,None,None,FALSE,ASNone,62.142.857.142.857.100
185.69.155.107,FALSE,100,UA,Hosting Ukraine Ltd,ukraine.com.ua,0,0,2023-11-30T00:45:18+00:00,-1.0,RIPE NCC,Hosting Ukraine LTD,62.0,97.0,100.0,75.0,0.0,0.0,0.0,AS200000,None,None,FALSE,AS200000 hosting ukraine ltd,61.857.142.857.142.800
185.69.155.107,FALSE,100,UA,Hosting Ukraine Ltd,ukraine.com.ua,0,0,2023-11-30T00:45:18+00:00,-1.0,RIPE NCC,Hosting Ukraine LTD,62.0,97.0,100.0,76.0,0.0,0.0,0.0,AS200000,None,None,FALSE,AS200000 hosting ukraine ltd,62.0
185.88.154.160,FALSE,100,IR,Parsian High Tech Company PJSC,bertina.ir,0,0,2023-06-06T09:42:18+00:00,0.0,RIPE NCC,Parsian High Tech Company PJSC,63.0,98.0,100.0,75.0,0.0,0.0,0.0,AS42043,None,None,FALSE,AS42043 parsian high tech company pjsc,62.285.714.285.714.200
185.88.154.160,FALSE,100,IR,Parsian High Tech Company PJSC,bertina.ir,0,0,2023-06-06T09:42:18+00:00,0.0,RIPE NCC,Parsian High Tech Company PJSC,63.0,98.0,100.0,76.0,0.0,0.0,0.0,AS42043,None,None,FALSE,AS42043 parsian high tech company pjsc,6.242.857.142.857.140
186.96.145.241,FALSE,0,MX,Total Play Telecomunicaciones SA de CV,totalplay.com.mx,2979,70,2024-02-24T17:43:51+00:00,0.0,LACNIC,TOTAL PLAY TELECOMUNICACIONES SA DE CV,58.0,90.0,98.0,80.0,0.0,0.0,0.0,AS22884,None,None,FALSE,AS22884 total play telecomunicaciones sa de cv,4.657.142.857.142.850
186.96.145.241,FALSE,0,MX,Total Play Telecomunicaciones SA de CV,totalplay.com.mx,2811,59,2024-02-24T17:43:51+00:00,0.0,LACNIC,TOTAL PLAY TELECOMUNICACIONES SA DE CV,58.0,91.0,98.0,80.0,0.0,0.0,0.0,AS22884,None,None,FALSE,AS22884 total play telecomunicaciones sa de cv,46.714.285.714.285.700
191.36.156.137,FALSE,87,BR,VipTurbo Comercio & Servicos de Informatica Ltda,brasiltelecom.net.br,5,2,2024-02-21T11:02:31+00:00,0.0,LACNIC,VIPTURBO COMERCIO & SERVICOS DE INFORMATICA LTDA,60.0,94.0,100.0,76.0,0.0,0.0,0.0,AS263333,None,None,FALSE,AS263333 vipturbo comrcio & servios de informtica ltda,5.957.142.857.142.850
191.36.156.137,FALSE,87,BR,VipTurbo Comercio & Servicos de Informatica Ltda,brasiltelecom.net.br,5,2,2024-02-21T11:02:31+00:00,0.0,LACNIC,VIPTURBO COMERCIO & SERVICOS DE INFORMATICA LTDA,60.0,94.0,100.0,77.0,0.0,0.0,0.0,AS263333,None,None,FALSE,AS263333 vipturbo comrcio & servios de informtica ltda,59.714.285.714.285.700
194.113.236.177,FALSE,0,RU,MTS PJSC,mtsgsm.com,312,160,2024-02-26T06:10:37+00:00,0.0,RIPE NCC,MTS PJSC,60.0,91.0,100.0,79.0,0.0,0.0,0.0,AS60490,AS60490,MTS PJSC,FALSE,AS60490 mts pjsc,47.142.857.142.857.100
194.113.236.177,FALSE,0,RU,MTS PJSC,mtsgsm.com,314,160,2024-02-26T17:01:02+00:00,0.0,RIPE NCC,MTS PJSC,60.0,92.0,100.0,79.0,0.0,0.0,0.0,AS60490,None,None,FALSE,AS60490 mts pjsc,47.285.714.285.714.200
195.226.194.242,FALSE,99,RU,Infolink LLC,informlink.ru,0,0,2024-01-11T20:23:06+00:00,0.0,None,None,0.0,100.0,100.0,100.0,0.0,0.0,0.0,None,None,None,FALSE,ASNone,57.0
195.226.194.242,FALSE,99,RU,Infolink LLC,informlink.ru,0,0,2024-01-11T20:23:06+00:00,0.0,None,None,0.0,100.0,100.0,100.0,0.0,0.0,0.0,None,None,None,FALSE,ASNone,57.0
195.230.103.242,FALSE,0,DE,SecurityTrails LLC,securitytrails.com,950,50,2024-02-26T09:03:58+00:00,0.0,ARIN,"Securitytrails, LLC",62.0,95.0,100.0,77.0,0.0,0.0,0.0,AS211607,None,None,FALSE,AS211607 securitytrails  llc,47.714.285.714.285.700
195.230.103.242,FALSE,0,DE,SecurityTrails LLC,securitytrails.com,966,51,2024-02-26T20:40:11+00:00,0.0,ARIN,"Securitytrails, LLC",62.0,95.0,100.0,78.0,0.0,0.0,0.0,AS211607,None,None,FALSE,AS211607 securitytrails  llc,47.857.142.857.142.800
196.189.118.69,FALSE,100,ET,Ethio Telecom,ethiotelecom.et,0,0,2023-07-12T19:07:23+00:00,-1.0,AFRINIC,Ethiopian Telecommunication Corporation,66.0,98.0,100.0,78.0,0.0,0.0,0.0,AS24757,None,None,FALSE,AS24757 ethionet,63.0
196.189.118.69,FALSE,100,ET,Ethio Telecom,ethiotelecom.et,0,0,2023-07-12T19:07:23+00:00,-1.0,AFRINIC,Ethiopian Telecommunication Corporation,66.0,98.0,100.0,79.0,0.0,0.0,0.0,AS24757,None,None,FALSE,AS24757 ethionet,63.142.857.142.857.100
197.199.224.52,FALSE,0,EG,Etisalat Misr,etisalat.com.eg,1074,455,2024-02-26T09:01:33+00:00,-1.0,AFRINIC,Etisalat Misr,57.0,89.0,98.0,80.0,0.0,0.0,0.0,AS36992,None,None,FALSE,AS36992 african network information center,46.142.857.142.857.100
197.199.224.52,FALSE,0,EG,Etisalat Misr,etisalat.com.eg,1066,455,2024-02-26T19:05:28+00:00,-1.0,AFRINIC,Etisalat Misr,57.0,90.0,98.0,80.0,0.0,0.0,0.0,AS36992,None,None,FALSE,AS36992 african network information center,46.285.714.285.714.200
20.151.171.161,FALSE,100,CA,Microsoft Corporation,microsoft.com,0,0,2023-11-01T17:42:56+00:00,-1.0,ARIN,MICROSOFT-CORP-MSN-AS-BLOCK,66.0,98.0,99.0,79.0,0.0,0.0,0.0,AS8075,None,None,FALSE,AS8075 microsoft corporation,63.0
20.151.171.161,FALSE,100,CA,Microsoft Corporation,microsoft.com,0,0,2023-11-01T17:42:56+00:00,-1.0,ARIN,MICROSOFT-CORP-MSN-AS-BLOCK,66.0,98.0,99.0,80.0,0.0,0.0,0.0,AS8075,None,None,FALSE,AS8075 microsoft corporation,63.142.857.142.857.100
210.245.51.208,FALSE,100,VN,FPT Telecom,fpt.com.vn,0,0,2023-07-26T18:09:45+00:00,0.0,APNIC,FPT Telecom Company,63.0,98.0,100.0,75.0,0.0,0.0,0.0,AS18403,AS18403,FPT Telecom Company,FALSE,AS18403 fpt telecom company,62.285.714.285.714.200
210.245.51.208,FALSE,100,VN,FPT Telecom,fpt.com.vn,0,0,2023-07-26T18:09:45+00:00,0.0,APNIC,FPT Telecom Company,63.0,98.0,100.0,76.0,0.0,0.0,0.0,AS18403,None,None,FALSE,AS18403 fpt telecom company,6.242.857.142.857.140
218.145.113.25,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-11-09T10:15:52+00:00,0.0,APNIC,Korea Telecom,62.0,96.0,100.0,76.0,0.0,0.0,0.0,AS4766,None,None,FALSE,AS4766 korea telecom,62.0
218.145.113.25,FALSE,100,KR,KT Corporation,kt.com,0,0,2023-11-09T10:15:52+00:00,0.0,APNIC,Korea Telecom,62.0,96.0,100.0,77.0,0.0,0.0,0.0,AS4766,None,None,FALSE,AS4766 korea telecom,62.142.857.142.857.100
218.92.0.15,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-12T19:07:46+00:00,0.0,APNIC,Chinanet,63.0,97.0,100.0,76.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,62.285.714.285.714.200
218.92.0.15,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-12T19:07:46+00:00,0.0,APNIC,Chinanet,63.0,97.0,100.0,77.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,6.242.857.142.857.140
218.92.0.20,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-23T18:10:40+00:00,0.0,APNIC,Chinanet,61.0,93.0,99.0,79.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,61.714.285.714.285.700
218.92.0.20,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-23T18:10:40+00:00,0.0,APNIC,Chinanet,61.0,93.0,99.0,80.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,61.857.142.857.142.800
218.92.0.34,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,31088,424,2024-02-26T09:01:13+00:00,-3.0,APNIC,Chinanet,57.0,89.0,98.0,80.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,45.857.142.857.142.800
218.92.0.34,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,31162,423,2024-02-26T20:46:02+00:00,-3.0,APNIC,Chinanet,57.0,90.0,98.0,80.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,46.0
218.92.0.51,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,8207,225,2024-02-26T09:08:04+00:00,0.0,APNIC,Chinanet,53.0,86.0,98.0,79.0,0.0,0.0,0.0,AS4134,AS4134,CHINANET-BACKBONE,FALSE,AS4134 chinanet,45.142.857.142.857.100
218.92.0.51,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,8184,226,2024-02-26T20:58:27+00:00,0.0,APNIC,Chinanet,53.0,87.0,98.0,79.0,0.0,0.0,0.0,AS4134,AS4134,CHINANET-BACKBONE,FALSE,AS4134 chinanet,45.285.714.285.714.200
218.92.0.56,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,29870,429,2024-02-26T09:13:35+00:00,-1.0,APNIC,Chinanet,57.0,88.0,98.0,81.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,46.142.857.142.857.100
218.92.0.56,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,29987,429,2024-02-26T20:58:46+00:00,-1.0,APNIC,Chinanet,57.0,89.0,98.0,81.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,46.285.714.285.714.200
218.92.0.95,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,6530,34,2024-02-26T09:15:06+00:00,-1.0,APNIC,Chinanet,56.0,89.0,99.0,78.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,45.857.142.857.142.800
218.92.0.95,FALSE,0,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,6445,33,2024-02-26T20:56:26+00:00,-1.0,APNIC,Chinanet,56.0,90.0,99.0,78.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,46.0
218.92.0.98,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-12T19:07:47+00:00,1.0,APNIC,Chinanet,62.0,94.0,99.0,79.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,62.142.857.142.857.100
218.92.0.98,FALSE,100,CN,ChinaNet Jiangsu Province Network,chinatelecom.com.cn,0,0,2023-07-12T19:07:47+00:00,1.0,APNIC,Chinanet,62.0,94.0,99.0,80.0,0.0,0.0,0.0,AS4134,None,None,FALSE,AS4134 chinanet,62.285.714.285.714.200
221.213.63.210,FALSE,100,CN,KM-NJW-Primary-School Kunming Yunnan,chinaunicom.com,0,0,2023-09-29T00:11:07+00:00,-13.0,APNIC,CHINA UNICOM China169 Backbone,63.0,97.0,98.0,78.0,0.0,0.0,0.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,6.042.857.142.857.140
221.213.63.210,FALSE,100,CN,KM-NJW-Primary-School Kunming Yunnan,chinaunicom.com,0,0,2023-09-29T00:11:07+00:00,-13.0,APNIC,CHINA UNICOM China169 Backbone,63.0,97.0,98.0,79.0,0.0,0.0,0.0,AS4837,None,None,FALSE,AS4837 china unicom china169 backbone,6.057.142.857.142.850
27.2.11.114,FALSE,100,VN,Saigon Tourist Cable Television,saigon-tourist.com,0,0,2023-11-09T10:19:57+00:00,0.0,APNIC,SaiGon Tourist cable Televition Company,0.0,100.0,100.0,10.0,0.0,0.0,0.0,AS45543,None,None,FALSE,AS45543 saigon tourist cable televition company,44.285.714.285.714.200
27.2.11.114,FALSE,100,VN,Saigon Tourist Cable Television,saigon-tourist.com,0,0,2023-11-09T10:19:57+00:00,0.0,APNIC,SaiGon Tourist cable Televition Company,0.0,100.0,100.0,11.0,0.0,0.0,0.0,AS45543,None,None,FALSE,AS45543 saigon tourist cable televition company,4.442.857.142.857.140
42.2.243.207,FALSE,100,HK,Hong Kong Telecommunications (HKT) Limited,netvigator.com,0,0,2024-01-02T20:33:47+00:00,0.0,APNIC,HKT Limited,64.0,96.0,100.0,78.0,0.0,0.0,0.0,AS4760,None,None,FALSE,AS4760 hkt limited,6.257.142.857.142.850
42.2.243.207,FALSE,100,HK,Hong Kong Telecommunications (HKT) Limited,netvigator.com,0,0,2024-01-02T20:33:47+00:00,0.0,APNIC,HKT Limited,64.0,96.0,100.0,79.0,0.0,0.0,0.0,AS4760,None,None,FALSE,AS4760 hkt limited,62.714.285.714.285.700
43.131.244.10,FALSE,100,KR,Tencent Cloud Computing (Beijing) Co. Ltd.,tencent.com,0,0,2023-07-11T11:25:43+00:00,0.0,APNIC,"Tencent Building, Kejizhongyi Avenue",62.0,95.0,99.0,78.0,0.0,0.0,0.0,AS132203,None,None,FALSE,AS132203 tencent building  kejizhongyi avenue,62.0
